Transaction_ID,Account_ID,Date,Amount,Transaction_Type,Mode,Location,Channel,Is_Fraudulent
T00001,A00188,2025-04-28,144498,Credit,Card,Delhi,POS,Yes
T00002,A00092,2025-02-12,168723,Credit,Card,Bengaluru,ATM,Yes
T00003,A00505,2025-06-29,19835,Debit,ATM,Delhi,Mobile App,Yes
T00004,A00446,2025-06-12,15696,Credit,ATM,Kolkata,Internet Banking,Yes
T00005,A00269,2025-03-27,162992,Debit,UPI,Hyderabad,ATM,Yes
T00006,A00547,2025-01-28,126642,Debit,Card,Hyderabad,Internet Banking,No
T00007,A00265,2024-08-21,187424,Credit,Net Banking,Kolkata,POS,No
T00008,A00413,2024-11-29,161613,Credit,ATM,Delhi,Internet Banking,No
T00009,A00490,2024-12-07,81250,Credit,ATM,Bengaluru,Internet Banking,No
T00010,A00206,2024-11-02,25997,Debit,Card,Hyderabad,Mobile App,Yes
T00011,A00333,2024-12-22,166375,Debit,UPI,Chennai,Mobile App,Yes
T00012,A00454,2024-07-09,37964,Credit,Net Banking,Kolkata,Internet Banking,No
T00013,A00269,2024-09-07,37900,Credit,Net Banking,Bengaluru,ATM,No
T00014,A00135,2024-12-23,196879,Debit,ATM,Delhi,ATM,No
T00015,A00149,2025-02-14,72726,Credit,Card,Kolkata,ATM,Yes
T00016,A00215,2025-06-13,142702,Credit,Net Banking,Hyderabad,Mobile App,Yes
T00017,A00222,2025-04-02,122158,Debit,Net Banking,Hyderabad,ATM,Yes
T00018,A00157,2025-06-12,7482,Credit,UPI,Bengaluru,ATM,Yes
T00019,A00146,2024-09-16,154078,Debit,Net Banking,Mumbai,POS,No
T00020,A00166,2025-06-07,191514,Debit,ATM,Hyderabad,POS,No
T00021,A00521,2024-12-23,192875,Debit,Card,Bengaluru,Internet Banking,No
T00022,A00018,2024-08-04,146381,Debit,UPI,Kolkata,Mobile App,Yes
T00023,A00109,2024-10-05,124531,Credit,ATM,Hyderabad,Internet Banking,Yes
T00024,A00300,2024-11-02,39689,Debit,Net Banking,Mumbai,Internet Banking,No
T00025,A00260,2025-03-25,195242,Debit,UPI,Hyderabad,POS,Yes
T00026,A00158,2025-03-08,102277,Debit,Net Banking,Bengaluru,ATM,No
T00027,A00355,2025-06-17,67145,Credit,ATM,Bengaluru,POS,No
T00028,A00574,2025-04-02,150658,Credit,ATM,Kolkata,ATM,No
T00029,A00580,2025-05-05,106759,Debit,ATM,Hyderabad,ATM,Yes
T00030,A00158,2024-09-01,53757,Credit,ATM,Chennai,Mobile App,Yes
T00031,A00189,2025-04-04,48159,Credit,UPI,Bengaluru,Internet Banking,Yes
T00032,A00183,2025-04-10,46619,Debit,ATM,Kolkata,Mobile App,Yes
T00033,A00363,2024-08-16,97930,Credit,ATM,Hyderabad,Internet Banking,No
T00034,A00415,2024-08-04,20580,Debit,ATM,Kolkata,Mobile App,Yes
T00035,A00059,2024-08-13,130125,Credit,ATM,Bengaluru,ATM,Yes
T00036,A00387,2025-03-31,78362,Debit,UPI,Mumbai,Mobile App,No
T00037,A00188,2024-12-21,37888,Debit,UPI,Hyderabad,POS,No
T00038,A00346,2025-03-03,48733,Debit,Net Banking,Kolkata,POS,No
T00039,A00217,2024-11-17,76020,Debit,Card,Chennai,Mobile App,No
T00040,A00381,2024-08-02,3767,Debit,ATM,Kolkata,Internet Banking,Yes
T00041,A00051,2025-01-19,69572,Debit,Net Banking,Delhi,POS,Yes
T00042,A00399,2025-03-31,182000,Credit,Card,Bengaluru,Internet Banking,No
T00043,A00249,2024-11-26,169362,Debit,Net Banking,Hyderabad,POS,No
T00044,A00491,2025-04-08,176640,Credit,UPI,Bengaluru,ATM,Yes
T00045,A00251,2025-05-03,56194,Debit,Net Banking,Bengaluru,ATM,Yes
T00046,A00069,2025-01-14,45291,Debit,Net Banking,Bengaluru,Mobile App,Yes
T00047,A00118,2025-02-22,109994,Debit,Net Banking,Delhi,Internet Banking,No
T00048,A00545,2024-08-31,26230,Credit,Net Banking,Bengaluru,POS,No
T00049,A00057,2024-11-24,28380,Credit,Card,Bengaluru,Internet Banking,No
T00050,A00279,2025-01-29,139972,Debit,UPI,Hyderabad,ATM,Yes
T00051,A00407,2024-11-24,163116,Credit,UPI,Mumbai,Internet Banking,No
T00052,A00504,2024-07-17,13631,Debit,Net Banking,Bengaluru,POS,Yes
T00053,A00283,2025-04-24,9391,Debit,ATM,Kolkata,Internet Banking,No
T00054,A00108,2024-09-04,50541,Credit,ATM,Hyderabad,Internet Banking,No
T00055,A00242,2025-06-19,80179,Credit,Net Banking,Kolkata,ATM,Yes
T00056,A00007,2024-11-07,100388,Debit,ATM,Chennai,Mobile App,No
T00057,A00498,2025-02-04,137945,Credit,ATM,Chennai,ATM,Yes
T00058,A00323,2025-06-03,113246,Credit,Card,Hyderabad,Internet Banking,Yes
T00059,A00235,2025-03-13,26109,Debit,UPI,Kolkata,Internet Banking,Yes
T00060,A00573,2025-05-31,180335,Credit,UPI,Bengaluru,Internet Banking,No
T00061,A00313,2024-08-27,100103,Credit,ATM,Chennai,Mobile App,Yes
T00062,A00125,2024-08-31,56490,Debit,ATM,Delhi,Mobile App,Yes
T00063,A00576,2025-06-02,13275,Debit,UPI,Hyderabad,ATM,Yes
T00064,A00332,2024-08-25,124589,Debit,Card,Hyderabad,ATM,Yes
T00065,A00153,2024-09-07,3245,Credit,Net Banking,Bengaluru,POS,Yes
T00066,A00014,2025-04-24,39240,Credit,Card,Chennai,ATM,Yes
T00067,A00074,2025-04-02,143271,Debit,Card,Delhi,Internet Banking,No
T00068,A00226,2024-07-19,104788,Debit,ATM,Bengaluru,Mobile App,Yes
T00069,A00395,2024-12-09,117711,Debit,UPI,Chennai,POS,No
T00070,A00179,2024-10-27,182148,Debit,Card,Hyderabad,POS,Yes
T00071,A00411,2024-10-28,171227,Debit,Card,Delhi,Internet Banking,No
T00072,A00059,2025-04-09,44621,Debit,UPI,Hyderabad,POS,Yes
T00073,A00521,2025-04-24,14803,Debit,Net Banking,Bengaluru,POS,Yes
T00074,A00294,2024-12-20,39800,Debit,Net Banking,Hyderabad,Internet Banking,No
T00075,A00409,2024-10-20,9313,Credit,Net Banking,Chennai,Mobile App,No
T00076,A00235,2025-02-28,8435,Debit,Card,Kolkata,ATM,Yes
T00077,A00585,2024-09-08,155959,Debit,UPI,Hyderabad,Mobile App,No
T00078,A00485,2024-08-14,87976,Debit,ATM,Delhi,ATM,No
T00079,A00375,2025-06-13,62082,Debit,Card,Kolkata,Internet Banking,No
T00080,A00396,2024-08-20,102578,Credit,ATM,Kolkata,Mobile App,No
T00081,A00065,2024-09-16,108655,Credit,Card,Delhi,ATM,No
T00082,A00322,2024-07-01,189221,Debit,ATM,Kolkata,Mobile App,No
T00083,A00284,2025-02-26,35631,Debit,Card,Kolkata,ATM,Yes
T00084,A00488,2025-04-23,18470,Debit,Net Banking,Bengaluru,Internet Banking,No
T00085,A00047,2024-10-06,149847,Credit,ATM,Chennai,Internet Banking,Yes
